HoleID,HoleType,Year,Property,Prospect,Grid,Easting,Northing,Elevation,NewsRelease,Length_m,Dip,Azimuth
NB90-18,DDH,1990,NIDD,Boundary,NAD83 / UTM zone 9N,416003.66,7010884.87,1118.034,Historical,207,-50,31.49
NB90-19,DDH,1990,NIDD,Boundary,NAD83 / UTM zone 9N,421996.96,7010767.05,1254.322,Historical,194.2,-50,211.39
NB90-20,DDH,1990,NIDD,Boundary,NAD83 / UTM zone 9N,422507.01,7010474.03,1180.338,Historical,297.8,-50,211.38
NB91-21,DDH,1991,NIDD,Boundary,NAD83 / UTM zone 9N,421934.03,7010811.66,1275.924,Historical,237.1,-55,211.39
NB91-22,DDH,1991,NIDD,Boundary,NAD83 / UTM zone 9N,420933.69,7010457.68,1222.82,Historical,262.4,-60,211.4
NB91-23,DDH,1991,NIDD,Boundary,NAD83 / UTM zone 9N,416177,7011129,1226.364,Historical,320,-55,211.49
NB91-24A,DDH,1991,NIDD,Boundary,NAD83 / UTM zone 9N,421796.66,7010866.39,1297.453,Historical,309.4,-60,211.39
NB91-25,DDH,1991,NIDD,Boundary,NAD83 / UTM zone 9N,422260.61,7010551.08,1205.201,Historical,205.7,-55,211.38
NB91-26,DDH,1991,NIDD,Boundary,NAD83 / UTM zone 9N,422260.61,7010551.08,1205.201,Historical,433.4,-55,151.38
TRC20-001,RC,2020,TOM,Tom West,NAD83 / UTM zone 9N,442065.26,7003666.75,1546.98,2021-05-14,7.62,-50,67.03
TRC20-002,RC,2020,TOM,Tom West,NAD83 / UTM zone 9N,442071,7003663,1547,2021-05-14,82.3,-80,66.03
TRC20-003,RC,2020,TOM,Tom West,NAD83 / UTM zone 9N,442071,7003663,1547,2021-05-14,64.01,-55,66.03
TRC20-004,RC,2020,TOM,Tom West,NAD83 / UTM zone 9N,442071,7003663,1547,2021-05-14,64.01,-70,90.03
TRC20-005,RC,2020,TOM,Tom West,NAD83 / UTM zone 9N,442071,7003663,1547,2021-05-14,47.24,-55,130.03
TRC20-006,RC,2020,TOM,Tom West,NAD83 / UTM zone 9N,442049,7003678,1545,2021-05-14,36.58,-80,66.03
TRC20-007,RC,2020,TOM,Tom North,NAD83 / UTM zone 9N,441653,7004472,1427,2021-05-14,98.45,-51,76
TS001,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,441888.14,7004051.35,1532.57,Historical,301.75,-35,65.03
TS002,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,441942.15,7003966.21,1539.31,Historical,216.71,-35,65.03
TS003,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441826.15,7004181.9,1527.04,Historical,79.55,-35,65.03
TS004,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,441983.46,7003850.58,1526.92,Historical,93.88,-35,65.03
TS005,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441796.11,7004298.67,1516,Historical,64.62,-35,65.03
TS006,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,442042.2,7003735.71,1535,Historical,60.66,-35,65.03
TS007,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441770.25,7004421.49,1489.24,Historical,91.44,-35,65.03
TS008,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,442078.67,7003627.15,1556.18,Historical,67.06,-45,65.03
TS009,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441738.41,7004542.21,1472.06,Historical,171.6,-35,65.03
TS010,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,441876.74,7003935.82,1507.69,Historical,128.01,-35,65.03
TS011,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441724.92,7004654.02,1449.01,Historical,63.09,-35,65.03
TS012,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,442146.28,7003725.58,1549.96,Historical,193.54,-50,245.03
TS013,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441649.76,7004637.13,1426.2,Historical,96.31,-40,65.03
TS014,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,441481.25,7004894.07,1421.59,Historical,138.37,-35,65.03
TS015,DDH,1952,TOM,Tom Exploration,NAD83 / UTM zone 9N,442123.52,7003648.37,1548.94,Historical,149.96,-35,245.03
TS016,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,441835.85,7003915.62,1487.95,Historical,154.22,-40,65.03
TS017,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,442013.02,7003727.99,1527.66,Historical,96.62,-65,65.03
TS018,DDH,1952,TOM,Tom West,NAD83 / UTM zone 9N,442049.3,7003677.7,1544.59,Historical,83.81,-50,65.03
